epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,3192.56,1.01105,0.71679,1.06839,0.70561,0.48928,0.51544,0.33119,1.33354,1.27146,1.22938,0.00505,0.00505,0.00505
102,3222.23,1.00598,0.71579,1.06934,0.66207,0.47508,0.51636,0.33096,1.34844,1.30418,1.24288,0.0050005,0.0050005,0.0050005
103,3251.97,0.99175,0.70675,1.05866,0.64533,0.50806,0.51408,0.32842,1.34378,1.28684,1.23069,0.004951,0.004951,0.004951
104,3281.19,0.99971,0.69837,1.06368,0.65094,0.45567,0.50269,0.318,1.35902,1.3301,1.23948,0.0049015,0.0049015,0.0049015
105,3310.98,0.98821,0.69244,1.05817,0.62999,0.47202,0.51442,0.32547,1.35859,1.30959,1.24195,0.004852,0.004852,0.004852
106,3340.6,0.99045,0.70067,1.05744,0.62221,0.4728,0.50246,0.31733,1.35926,1.32899,1.24187,0.0048025,0.0048025,0.0048025
107,3370.13,0.98656,0.69162,1.06124,0.62867,0.4843,0.50577,0.32225,1.35522,1.31233,1.24329,0.004753,0.004753,0.004753
108,3399.69,0.9762,0.68531,1.05621,0.59732,0.49434,0.49862,0.32298,1.35356,1.33995,1.23911,0.0047035,0.0047035,0.0047035
109,3429.2,0.97179,0.67455,1.05667,0.60399,0.46589,0.49644,0.31873,1.35523,1.32849,1.23988,0.004654,0.004654,0.004654
110,3458.53,0.97883,0.67829,1.05565,0.57545,0.51929,0.50108,0.31945,1.3664,1.32173,1.24641,0.0046045,0.0046045,0.0046045
111,3488.1,0.96015,0.67182,1.04967,0.59775,0.503,0.50987,0.32688,1.36673,1.30345,1.25079,0.004555,0.004555,0.004555
112,3517.81,0.96833,0.67164,1.04821,0.6741,0.47462,0.50961,0.3256,1.34888,1.3332,1.23923,0.0045055,0.0045055,0.0045055
113,3547.16,0.98103,0.68308,1.06051,0.65145,0.47766,0.50681,0.32484,1.33486,1.31592,1.23293,0.004456,0.004456,0.004456
114,3576.5,0.96164,0.67254,1.05255,0.60845,0.50447,0.50171,0.32142,1.3335,1.3018,1.23329,0.0044065,0.0044065,0.0044065
115,3605.72,0.95829,0.67107,1.05303,0.63709,0.48775,0.50015,0.31916,1.33933,1.32535,1.23663,0.004357,0.004357,0.004357
116,3634.99,0.95657,0.66589,1.04723,0.62339,0.48103,0.50402,0.32467,1.34782,1.33938,1.24096,0.0043075,0.0043075,0.0043075
117,3664.52,0.95183,0.65066,1.04249,0.58579,0.4739,0.50326,0.32278,1.37042,1.36784,1.25352,0.004258,0.004258,0.004258
118,3693.8,0.93425,0.63911,1.03248,0.68057,0.45476,0.51181,0.32645,1.35437,1.36364,1.24444,0.0042085,0.0042085,0.0042085
119,3723.22,0.94193,0.64763,1.03982,0.60284,0.50621,0.50928,0.32274,1.35825,1.35618,1.24708,0.004159,0.004159,0.004159
120,3752.68,0.93753,0.6408,1.03597,0.58927,0.49336,0.50258,0.32296,1.3642,1.35557,1.25446,0.0041095,0.0041095,0.0041095
121,3781.98,0.9496,0.64944,1.04151,0.63161,0.49144,0.513,0.32784,1.35785,1.34126,1.24701,0.00406,0.00406,0.00406
122,3811.22,0.94331,0.647,1.03417,0.65123,0.48118,0.51017,0.3232,1.35978,1.34821,1.24771,0.0040105,0.0040105,0.0040105
123,3840.6,0.94189,0.64597,1.03818,0.66338,0.48532,0.51093,0.32549,1.35164,1.33157,1.24198,0.003961,0.003961,0.003961
124,3870.5,0.94152,0.64066,1.03566,0.63486,0.48965,0.5116,0.32485,1.35291,1.357,1.24363,0.0039115,0.0039115,0.0039115
125,3900.14,0.92393,0.62901,1.03049,0.67173,0.44903,0.50241,0.31798,1.35914,1.35246,1.24502,0.003862,0.003862,0.003862
126,3929.79,0.92828,0.62304,1.03307,0.62032,0.48363,0.49229,0.31243,1.35958,1.35022,1.24308,0.0038125,0.0038125,0.0038125
127,3959.02,0.9285,0.63226,1.02794,0.69912,0.43871,0.50149,0.32387,1.36347,1.37046,1.24146,0.003763,0.003763,0.003763
128,3988.51,0.9159,0.61837,1.02709,0.71243,0.45999,0.50011,0.32275,1.35497,1.36454,1.24127,0.0037135,0.0037135,0.0037135
129,4017.87,0.92321,0.61949,1.02732,0.6853,0.44125,0.49156,0.31296,1.35636,1.37069,1.2456,0.003664,0.003664,0.003664
130,4047.08,0.91512,0.62324,1.03073,0.66173,0.45875,0.49245,0.31051,1.35219,1.36276,1.24447,0.0036145,0.0036145,0.0036145
131,4076.57,0.92343,0.62297,1.02871,0.57841,0.49335,0.49154,0.31012,1.35611,1.3625,1.24908,0.003565,0.003565,0.003565
132,4106.01,0.90133,0.60981,1.01684,0.58035,0.4781,0.49241,0.31016,1.35514,1.39127,1.24509,0.0035155,0.0035155,0.0035155
133,4135.37,0.90327,0.60136,1.0216,0.64233,0.46462,0.48884,0.31047,1.35243,1.38267,1.24601,0.003466,0.003466,0.003466
134,4164.69,0.90973,0.61026,1.01774,0.7167,0.44301,0.49131,0.3135,1.35157,1.38009,1.2479,0.0034165,0.0034165,0.0034165
135,4193.96,0.90298,0.61038,1.02124,0.7032,0.44838,0.49611,0.3165,1.35279,1.37823,1.25011,0.003367,0.003367,0.003367
136,4223.37,0.8969,0.59664,1.01802,0.66363,0.48087,0.49203,0.31304,1.35962,1.3794,1.2543,0.0033175,0.0033175,0.0033175
137,4252.9,0.90069,0.59583,1.01754,0.68545,0.46757,0.49721,0.31616,1.36312,1.38431,1.25887,0.003268,0.003268,0.003268
138,4282.26,0.8849,0.58926,1.01279,0.70373,0.46027,0.49826,0.31701,1.36442,1.38661,1.25797,0.0032185,0.0032185,0.0032185
